City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
118,Sao Filipe,CV,2021-12-04 19:52:59,14.8961,-24.4956,76.03,71,100,7.27
119,Necochea,AR,2021-12-04 19:57:25,-38.5473,-58.7368,60.04,51,94,15.73
120,Kaseda,JP,2021-12-04 19:56:47,31.4167,130.3167,41.85,64,0,6.76
121,Aktash,RU,2021-12-04 19:57:25,50.3,87.7333,0.21,80,2,4.16
122,Hay River,CA,2021-12-04 19:57:25,60.8156,-115.7999,-20.22,69,20,5.75
123,Mahebourg,MU,2021-12-04 19:57:26,-20.4081,57.7,78.26,83,40,6.91
124,Yaan,NG,2021-12-04 19:57:26,7.3833,8.5667,84.02,27,76,2.75
125,Bambous Virieux,MU,2021-12-04 19:57:26,-20.3428,57.7575,78.22,83,40,6.91
126,Tuktoyaktuk,CA,2021-12-04 19:57:27,69.4541,-133.0374,-23.8,69,1,3.44
127,Lorengau,PG,2021-12-04 19:57:27,-2.0226,147.2712,83.59,79,100,17.81
128,Aykhal,RU,2021-12-04 19:57:27,66.0,111.5,-17.59,99,98,5.86
129,Labuhan,ID,2021-12-04 19:57:27,-6.8844,112.2051,77.43,84,100,12.12
130,La Cumbre,AR,2021-12-04 19:57:28,-30.982,-64.4914,72.5,70,92,3.0
131,Bluff,NZ,2021-12-04 19:57:28,-46.6,168.3333,55.8,90,100,7.31
132,Sitka,US,2021-12-04 19:57:28,57.0531,-135.33,31.82,72,18,0.94
133,Bagdarin,RU,2021-12-04 19:57:28,54.4333,113.6,12.07,89,100,5.48
134,Tuatapere,NZ,2021-12-04 19:57:29,-46.1333,167.6833,55.81,97,100,8.5
135,Jalu,LY,2021-12-04 19:53:53,29.0331,21.5482,56.37,39,0,13.98
136,Dire,ML,2021-12-04 19:58:29,12.2833,-10.9667,81.86,20,78,2.33
137,Elat,IL,2021-12-04 19:58:29,29.5581,34.9482,66.04,45,0,0.0
138,Chokurdakh,RU,2021-12-04 19:58:30,70.6333,147.9167,-40.63,100,61,3.85
139,Tiruvannamalai,IN,2021-12-04 19:58:30,12.2167,79.0667,73.78,87,63,0.96
140,Kaitangata,NZ,2021-12-04 19:58:30,-46.2817,169.8464,61.65,82,100,6.2
141,Saskylakh,RU,2021-12-04 19:58:30,71.9167,114.0833,-20.02,98,100,4.92
142,Twistringen,DE,2021-12-04 19:58:31,52.8,8.65,35.98,99,100,4.23
143,Wasilla,US,2021-12-04 19:58:31,61.5814,-149.4394,5.76,69,58,1.01
144,Saint-Leu,RE,2021-12-04 19:58:31,-21.15,55.2833,77.83,81,15,4.54
145,Yellowknife,CA,2021-12-04 19:58:32,62.456,-114.3525,-24.59,82,1,3.44
146,Qom,IR,2021-12-04 19:58:32,34.6401,50.8764,48.4,51,24,2.37
147,Oum Hadjer,TD,2021-12-04 19:58:32,13.2954,19.6966,82.15,20,0,10.07
148,Junin,AR,2021-12-04 19:58:32,-34.5838,-60.9433,65.34,78,100,10.29
149,Acapulco,MX,2021-12-04 19:56:22,16.8634,-99.8901,85.53,59,12,7.34
150,Namatanai,PG,2021-12-04 19:58:33,-3.6667,152.4333,80.64,82,65,4.52
151,Merauke,ID,2021-12-04 19:58:33,-8.4667,140.3333,79.27,87,100,6.49
152,Esperance,AU,2021-12-04 19:58:33,-33.8667,121.9,51.64,89,58,10.09
153,Mazatlan,MX,2021-12-04 19:58:34,23.2167,-106.4167,84.02,83,99,7.52
154,Longyan,CN,2021-12-04 19:58:34,25.1072,117.0225,43.54,71,2,3.0
155,Hamilton,US,2021-12-04 19:58:34,39.1834,-84.5333,54.99,45,81,1.01
156,Ostrovnoy,RU,2021-12-04 19:58:34,68.0531,39.5131,5.11,94,81,6.64
157,Maniitsoq,GL,2021-12-04 19:57:52,65.4167,-52.9,38.41,70,100,18.79
158,Binzhou,CN,2021-12-04 19:58:35,37.3667,118.0167,39.96,59,0,3.96
159,Cidreira,BR,2021-12-04 19:58:35,-30.1811,-50.2056,71.38,77,100,18.28
160,Ndele,CF,2021-12-04 19:58:35,8.4109,20.6473,81.1,29,10,4.38
161,Hami,CN,2021-12-04 19:58:36,42.8,93.45,26.6,56,68,2.1
162,Eresos,GR,2021-12-04 19:58:36,39.1667,25.9333,56.71,78,50,7.61
163,Qasigiannguit,GL,2021-12-04 19:58:36,68.8193,-51.1922,39.16,43,100,46.04
164,Hailakandi,IN,2021-12-04 19:58:36,24.6833,92.5667,69.39,78,100,1.12
165,Teknaf,BD,2021-12-04 19:58:37,20.8624,92.3058,74.8,67,100,3.06
166,Hovd,MN,2021-12-04 19:58:37,48.0056,91.6419,19.31,60,0,1.79
167,Gitarama,RW,2021-12-04 19:58:37,-2.0744,29.7567,65.66,91,100,2.71
168,Viedma,AR,2021-12-04 19:56:35,-40.8135,-62.9967,75.61,22,50,15.61
169,Mostovskoy,RU,2021-12-04 19:58:38,44.4122,40.7936,44.78,58,27,7.14
170,Longyearbyen,SJ,2021-12-04 19:58:38,78.2186,15.6401,19.24,73,75,23.02
171,Iqaluit,CA,2021-12-04 19:58:38,63.7506,-68.5145,4.73,78,90,27.63
172,Marsa Matruh,EG,2021-12-04 19:58:38,31.3525,27.2453,64.6,45,0,11.5
173,Usinsk,RU,2021-12-04 19:58:39,65.9939,57.5281,-12.23,87,51,14.41
174,Portland,US,2021-12-04 19:54:38,45.5234,-122.6762,51.6,90,100,5.01
175,Gushikawa,JP,2021-12-04 19:58:39,26.3544,127.8686,63.63,59,100,15.46
176,Zhigansk,RU,2021-12-04 19:58:40,66.7697,123.3711,-15.56,98,100,15.3
177,Kloulklubed,PW,2021-12-04 19:58:40,7.0419,134.2556,75.7,75,83,3.24
178,Bikin,RU,2021-12-04 19:58:40,46.8161,134.26,-5.89,96,82,5.21
179,Antofagasta,CL,2021-12-04 19:56:03,-23.65,-70.4,72.21,57,15,10.16
180,Jamestown,US,2021-12-04 19:58:40,42.097,-79.2353,43.3,52,99,15.99
181,Kavaratti,IN,2021-12-04 19:58:04,10.5669,72.642,81.03,77,41,6.29
182,Harmanli,BG,2021-12-04 19:59:41,41.9333,25.9,40.1,90,89,1.59
183,Coquimbo,CL,2021-12-04 19:59:41,-29.9533,-71.3436,64.13,72,20,14.97
184,Inuvik,CA,2021-12-04 19:58:21,68.3499,-133.7218,-13.79,73,1,4.61
185,Sarti,GR,2021-12-04 19:59:42,40.1,23.9833,56.75,79,21,5.59
186,Hambantota,LK,2021-12-04 19:59:42,6.1241,81.1185,77.88,85,89,3.74
187,Chuy,UY,2021-12-04 19:59:42,-33.6971,-53.4616,70.05,70,100,11.59
188,Los Alamos,US,2021-12-04 19:59:43,35.8881,-106.307,59.43,30,1,1.99
189,Tipuani,BO,2021-12-04 19:59:43,-15.5648,-68.0185,85.5,62,99,3.24
190,Nishihara,JP,2021-12-04 19:59:43,26.1842,127.7558,63.68,59,40,10.36
191,Mount Isa,AU,2021-12-04 19:59:43,-20.7333,139.5,82.17,36,75,4.61
192,Trairi,BR,2021-12-04 19:59:19,-3.2778,-39.2689,83.16,69,30,12.93
193,Cabanas,CU,2021-12-04 19:59:44,22.9758,-82.9219,82.56,60,3,12.21
194,Margate,GB,2021-12-04 19:59:44,51.3813,1.3862,42.91,74,100,3.0
195,Tiksi,RU,2021-12-04 19:55:52,71.6872,128.8694,-21.1,97,100,3.09
196,Gambo,CF,2021-12-04 19:59:44,4.6482,22.2633,72.68,76,97,1.99
197,Black River,JM,2021-12-04 19:59:45,18.0264,-77.8487,86.0,70,93,3.89
198,Zhigalovo,RU,2021-12-04 19:59:45,54.8097,105.1578,24.58,92,100,7.92
199,Whyalla,AU,2021-12-04 19:59:45,-33.0333,137.5833,58.89,77,100,11.5
200,Saint-Joseph,RE,2021-12-04 19:59:45,-21.3667,55.6167,77.36,82,20,8.93
201,Avarua,CK,2021-12-04 19:59:46,-21.2078,-159.775,78.85,83,40,4.61
202,Hobart,AU,2021-12-04 19:59:46,-42.8794,147.3294,47.12,83,0,9.22
203,Kavieng,PG,2021-12-04 19:59:46,-2.5744,150.7967,82.08,81,100,13.44
204,Port Macquarie,AU,2021-12-04 19:59:42,-31.4333,152.9167,65.89,87,98,17.27
205,Amarillo,US,2021-12-04 19:59:47,35.222,-101.8313,59.41,40,0,5.01
206,Dunedin,NZ,2021-12-04 19:59:47,-45.8742,170.5036,63.7,73,100,8.16
207,Huescar,ES,2021-12-04 19:59:47,37.811,-2.5412,47.12,88,9,7.27
208,Vestmannaeyjar,IS,2021-12-04 19:59:47,63.4427,-20.2734,32.83,67,8,10.51
209,Mackenzie,CA,2021-12-04 19:59:48,55.2999,-123.1698,21.42,79,90,5.75
210,Castro,BR,2021-12-04 19:59:48,-24.7911,-50.0119,79.61,43,12,5.1
211,Lebu,CL,2021-12-04 19:59:48,-37.6167,-73.65,59.59,68,0,21.0
212,Lom Sak,TH,2021-12-04 19:59:49,16.7798,101.2422,57.04,61,16,5.12
213,Mattru,SL,2021-12-04 19:59:49,7.6244,-11.8332,77.52,89,79,2.68
214,Vila,PT,2021-12-04 19:59:49,42.0304,-8.1588,42.33,85,25,4.68
