,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
222,Seoul,KR,37.5683,126.9778,33.24,93,0,2.3,clear sky
223,Labrea,BR,-7.2586,-64.7981,77.83,94,95,1.23,heavy intensity rain
224,Narsaq,GL,60.9167,-46.05,26.82,78,100,22.35,overcast clouds
225,Yeppoon,AU,-23.1333,150.7333,78.58,71,81,14.05,broken clouds
226,Isiro,CD,2.7739,27.616,66.54,98,100,2.86,overcast clouds
227,Vestmanna,FO,62.1564,-7.1664,36.52,70,90,16.11,overcast clouds
228,Esperance,AU,-33.8667,121.9,62.44,67,84,12.03,broken clouds
229,Nabire,ID,-3.3667,135.4833,77.43,85,90,4.68,overcast clouds
230,Ipixuna,BR,-1.7625,-48.8043,75.15,90,99,2.53,light rain
231,Butaritari,KI,3.0707,172.7902,80.82,83,100,11.95,moderate rain
232,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.54,84,15,14.74,few clouds
233,Newport,GB,51.5877,-2.9984,42.85,82,49,5.21,scattered clouds
234,Sivaki,RU,52.6333,126.75,0.68,98,96,5.95,overcast clouds
235,Luderitz,NA,-26.6481,15.1594,61.09,88,0,10.02,clear sky
236,Rambha,IN,19.5167,85.1,71.96,89,100,3.69,overcast clouds
237,Zelenogorskiy,RU,55.0333,87.0,27.12,95,100,7.27,overcast clouds
238,Saint-Philippe,RE,-21.3585,55.7679,76.55,81,37,10.27,scattered clouds
239,Svetlogorsk,BY,52.6333,29.7333,29.79,92,100,5.1,overcast clouds
240,Huarmey,PE,-10.0681,-78.1522,68.7,82,100,10.18,overcast clouds
241,Vardo,NO,70.3705,31.1107,10.15,78,13,22.28,few clouds
242,Klaksvik,FO,62.2266,-6.589,38.32,62,37,17.38,scattered clouds
243,Staraya Russa,RU,57.9944,31.3608,5.22,95,89,6.13,overcast clouds
244,Zima,RU,53.9202,102.0442,8.04,96,87,3.85,overcast clouds
245,Mugla,TR,37.2303,28.3557,48.87,95,96,5.19,overcast clouds
246,Mbala,ZM,-8.8402,31.3659,66.6,62,62,7.81,broken clouds
247,Tuatapere,NZ,-46.1333,167.6833,54.82,53,87,6.49,overcast clouds
248,Luganville,VU,-15.5333,167.1667,83.82,71,26,6.96,scattered clouds
249,Las Palmas,ES,28.4204,-14.0131,63.39,72,40,23.02,scattered clouds
250,Bida,NG,9.0833,6.0167,82.56,25,72,1.92,broken clouds
251,Harsin,IR,34.2721,47.5861,50.81,41,14,4.5,few clouds
252,Pitimbu,BR,-7.4706,-34.8086,81.19,78,39,13.8,scattered clouds
253,Saint-Pierre,RE,-21.3393,55.4781,76.64,76,0,6.91,clear sky
254,Quelimane,MZ,-17.8786,36.8883,79.16,76,2,7.85,clear sky
255,Pyaozerskiy,RU,65.8333,31.1667,-3.48,97,67,4.03,broken clouds
256,Tuktoyaktuk,CA,69.4541,-133.0374,-18.4,76,40,8.05,scattered clouds
257,Verkhnevilyuysk,RU,63.4453,120.3167,-27.22,91,28,6.49,scattered clouds
258,Puerto Del Rosario,ES,28.5004,-13.8627,65.95,72,40,23.02,scattered clouds
259,Banjar,ID,-8.19,114.9675,78.66,93,100,6.24,moderate rain
260,Yevpatoriya,UA,45.1972,33.3558,44.83,86,30,7.63,scattered clouds
261,Tabou,CI,4.423,-7.3528,80.62,81,13,8.12,few clouds
262,Egvekinot,RU,66.3167,-179.1667,-2.47,82,94,27.87,overcast clouds
263,Tilichiki,RU,60.4667,166.1,0.41,96,91,2.98,overcast clouds
264,Shetpe,KZ,44.1667,52.1167,37.36,68,88,4.16,overcast clouds
265,Liverpool,GB,53.4106,-2.9779,40.77,90,75,0.0,broken clouds
266,Fort Nelson,CA,58.8053,-122.7002,-15.21,70,20,5.75,few clouds
267,Banyo,CM,6.75,11.8167,75.06,37,100,2.55,overcast clouds
268,Malim,PH,7.452,123.4312,77.67,81,95,12.24,overcast clouds
269,Isangel,VU,-19.55,169.2667,84.31,79,75,0.0,broken clouds
270,Filingue,NE,14.3521,3.3168,78.55,13,1,7.18,clear sky
271,Nemuro,JP,43.3236,145.575,40.39,71,2,12.24,clear sky
