City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
121,Kodiak,US,33.31,light snow,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
122,Richards Bay,ZA,77.18,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
123,Korla,CN,30.2,overcast clouds,41.7597,86.1469,Gulisitan Hotel
124,Port Alfred,ZA,68.81,overcast clouds,-33.5906,26.891,The Halyards Hotel
125,Zhangjiakou,CN,25.2,clear sky,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
126,Belle Fourche,US,27.32,overcast clouds,44.6714,-103.8522,Kings Inn
127,Yellowknife,CA,-18.58,few clouds,62.456,-114.3525,The Explorer Hotel
128,Kyzyl-Suu,KG,28.11,broken clouds,42.3414,78.0056,Gostinitsa Nur-Ordo
129,Hasaki,JP,45.28,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
130,Rocha,UY,63.73,overcast clouds,-34.4833,-54.3333,Hotel Arrarte
131,Codrington,AU,64.13,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
132,Boyolangu,ID,75.6,light rain,-8.1181,111.8935,Yos ega cv
133,Panaba,MX,83.89,clear sky,21.2833,-88.2667,Hotel California
134,Saint George,US,72.36,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
135,Sakakah,SA,60.37,overcast clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
136,Bolshoy Kamen,RU,8.49,few clouds,43.1225,132.3583,Гостиница Адмирал
137,Sosnovo-Ozerskoye,RU,12.78,broken clouds,52.5249,111.5418,
138,Cuiluan,CN,18.57,broken clouds,47.72,128.648,Shuncheng Hotel
139,Harper,LR,80.58,few clouds,4.375,-7.7169,Screensaver
140,Ukiah,US,77.43,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
141,Tagab,AF,42.76,few clouds,34.855,69.6492,
142,Rutana,BI,58.98,overcast clouds,-3.8667,30.1,Failles des Allemands
143,Mayo,US,51.39,broken clouds,38.8876,-76.5119,Resorts Resource Group International
144,Kidal,ML,73.85,broken clouds,18.4411,1.4078,
145,Tezu,IN,64.6,overcast clouds,27.9167,96.1667,Circuit House
146,Ribeira Grande,PT,64.06,broken clouds,38.5167,-28.7,Quinta da Meia Eira
147,Karratha,AU,84.27,few clouds,-20.7377,116.8463,ibis Styles Karratha
148,Bairiki,KI,86.0,light rain,1.3292,172.9752,Tarawa Boutique Hotel
149,Kruisfontein,ZA,63.88,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
150,Kerema,PG,80.04,broken clouds,-7.9631,145.7785,Frena Lodge
151,Romny,UA,29.52,overcast clouds,50.751,33.4747,Floriana
152,Les Escoumins,CA,15.15,overcast clouds,48.1111,-69.0236,
153,Oktyabrskiy,RU,25.59,overcast clouds,54.4815,53.471,Уязы-Тау гостиница
154,Lucea,JM,82.26,overcast clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
155,Ponta Do Sol,PT,66.83,scattered clouds,32.6667,-17.1,Hotel do Campo
156,Bubaque,GW,81.54,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
157,Kikwit,CD,70.77,overcast clouds,-5.041,18.8162,HOTEL PLACE YALABA
158,Neijiang,CN,53.62,scattered clouds,29.5835,105.0622,Han'an Hotel
159,Ancud,CL,74.73,scattered clouds,-41.8697,-73.8203,Hotel Arena Gruesa
160,Shingu,JP,51.66,overcast clouds,33.7333,135.9833,Shingu UI Hotel
161,Daru,PG,80.8,overcast clouds,-9.0763,143.2092,Daru Lodge
162,Biltine,TD,75.94,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
